post_id,title,category,score,num_comments,author,collected_at,engagement,is_popular
47625385,H264 Streaming Fees What Changed Whos Affected and What It Means,entertainment,67,38,phantomathkg,2026-04-03 23:43:18,0.5588235294117647,False
47560959,Show HN Home Maker Declare Your Dev Tools in a Makefile,entertainment,89,58,sthottingal,2026-04-03 23:43:18,0.6444444444444445,False
47615844,Show HN A P2P messenger with dual network modes Fast and Tor,entertainment,35,21,Realman78,2026-04-03 23:43:40,0.5833333333333334,False
47606560,Show HN Dull  Instagram Without Reels YouTube Without Shorts iOS,entertainment,145,113,kasparnoor,2026-04-03 23:43:43,0.773972602739726,False
47612601,Sweden goes back to basics swapping screens for books in the classroom,entertainment,882,423,novaRom,2026-04-03 23:43:46,0.47904869762174407,True
47612321,Show HN I built a DNS resolver from scratch in Rust  no DNS libraries,entertainment,104,63,rdme,2026-04-03 23:43:57,0.6,False
47612277,Almighty Lisp Lisp and Emacs Essentials Book,entertainment,66,4,nemoniac,2026-04-03 23:44:02,0.05970149253731343,False
47618247,Show HN SyNumpy  a Header only C17 library for working with NumPy Arrays,entertainment,19,3,symisc_devel,2026-04-03 23:44:04,0.15,False
47626598,Show HN ctx  an Agentic Development Environment ADE,entertainment,37,51,luca-ctx,2026-04-03 23:45:17,1.3421052631578947,False
47557921,Show HN Git bayesect  Bayesian Git bisection for nondeterministic bugs,entertainment,334,44,hauntsaninja,2026-04-03 23:45:26,0.13134328358208955,True
47597935,CERN levels up with new superconducting karts,entertainment,394,85,fnands,2026-04-03 23:45:31,0.21518987341772153,True
47609090,The Weather Channel  RetroCast,entertainment,314,60,typeofhuman,2026-04-03 23:45:33,0.19047619047619047,True
47558101,Bring Back MiniDV with This Raspberry Pi FireWire Hat,entertainment,124,28,ingve,2026-04-03 23:45:34,0.224,False
47573138,Set the Line Before Its Crossed,entertainment,79,48,surprisetalk,2026-04-03 23:45:36,0.6,False
47605374,Scientists crack a 20year nuclear mystery behind the creation of gold,entertainment,84,39,prabal97,2026-04-03 23:45:37,0.4588235294117647,False
47550433,Teenage Engineerings PO32 acoustic modem and synth implementation,entertainment,148,35,ericlewis,2026-04-03 23:45:38,0.2348993288590604,False
47601859,Ask HN Who is hiring April 2026,entertainment,270,321,whoishiring,2026-04-03 23:45:39,1.1845018450184501,True
47539945,Consider the Greenland Shark 2020,entertainment,88,39,mooreds,2026-04-03 23:45:39,0.43820224719101125,False
47597119,Claude wrote a full FreeBSD remote kernel RCE with root shell,entertainment,267,102,ishqdehlvi,2026-04-03 23:45:40,0.3805970149253731,True
47601555,Apple removes iPhone vibe coding app from app store,entertainment,65,57,randycupertino,2026-04-03 23:45:41,0.8636363636363636,False
47582043,Artemis II is not safe to fly,entertainment,897,629,idlewords,2026-04-03 23:45:43,0.700445434298441,True
47593556,A dot a day keeps the clutter away,entertainment,574,168,scottlawson,2026-04-03 23:45:44,0.2921739130434783,True
