post_id,title,category,score,num_comments,author,collected_at
47629433,iNaturalist,technology,44,8,bookofjoe,2026-04-03 23:34:42
47629505,Solana Drift Protocol drained of 285M via fake token and governance hijack,technology,14,0,anonhaven,2026-04-03 23:34:43
47562325,Understanding young news audiences at a time of rapid change,technology,18,1,giuliomagnifico,2026-04-03 23:34:44
47618223,We replaced RAG with a virtual filesystem for our AI documentation assistant,technology,19,9,denssumesh,2026-04-03 23:34:45
47567222,Samsung Magician disk utility takes 18 steps and two reboots to uninstall,technology,250,132,chalmovsky,2026-04-03 23:35:46
47626462,BigEndian Testing with QEMU,technology,62,42,jandeboevrie,2026-04-03 23:35:47
47624731,April 2026 TLDR Setup for Ollama and Gemma 4 26B on a Mac mini,technology,226,91,greenstevester,2026-04-03 23:35:48
47629116,Go on Embedded Systems and WebAssembly,technology,15,0,uticus,2026-04-03 23:35:49
47560967,A Recipe for Steganogravy,technology,94,21,tbrockman,2026-04-03 23:35:50
47622616,The Technocracy Movement of the 1930s,technology,18,4,lazydogbrownfox,2026-04-03 23:35:52
47624811,SSH certificates the better SSH experience,technology,132,55,jandeboevrie,2026-04-03 23:35:53
47627527,Build your own Dialup ISP with a Raspberry Pi,technology,22,3,arjunbajaj,2026-04-03 23:35:54
47624645,Show HN Apfel  The free AI already on your Mac,technology,544,122,franze,2026-04-03 23:35:55
47561426,What Category Theory Teaches Us About DataFrames,technology,141,42,mchav,2026-04-03 23:35:55
47561678,ESP32S31 DualCore RISCV SoC with WiFi 6 Bluetooth 54 and Advanced HMI,technology,158,86,topspin,2026-04-03 23:35:56
47625639,TDF ejects its core developers,technology,119,78,janvdberg,2026-04-03 23:35:57
47628608,If youre running OpenClaw you probably got hacked in the last week,technology,112,53,kykeonaut,2026-04-03 23:35:58
47629013,Mercurial Dyson  a plan for the disassembly of planet Mercury,technology,22,10,indy,2026-04-03 23:35:59
47627061,Solar and batteries can power the world,technology,206,300,edent,2026-04-03 23:36:00
47624736,NHS staff refusing to use FDP over Palantir ethical concerns,technology,254,107,chrisjj,2026-04-03 23:36:01
47579818,What we learned building 100 API integrations with OpenCode,technology,70,16,rguldener,2026-04-03 23:36:01
47624804,Category Theory Illustrated  Types,technology,47,1,boris_m,2026-04-03 23:36:02
47573728,Intel Assured Supply Chain Product Brief,technology,44,9,aw-engineer,2026-04-03 23:36:03
47618189,Tailscales new macOS home,technology,531,280,tosh,2026-04-03 23:36:04
47616361,Google releases Gemma 4 open models,technology,1684,446,jeffmcjunkin,2026-04-03 23:36:05
47618084,Cursor 3,worldnews,516,376,adamfeldman,2026-04-03 23:36:31
47609356,Artemis IIs toilet is a moon mission milestone,worldnews,313,149,1659447091,2026-04-03 23:36:33
47616242,Decisions that eroded trust in Azure  by a former Azure Core engineer,worldnews,1099,522,axelriet,2026-04-03 23:36:37
47598413,C89ccsh  standalone C89ELF64 compiler in pure portable shell,worldnews,181,58,gaigalas,2026-04-03 23:36:37
47629272,Artemis II astronaut I have two Microsoft Outlooks and neither are working,worldnews,7,1,Bender,2026-04-03 23:37:40
